id,city,time,temperature,humidity
85,Kyoto,上午12时,28.89,7.0
86,Kyoto,上午1时,27.22,7.0
87,Kyoto,上午2时,26.67,7.0
88,Kyoto,上午3时,26.11,7.0
89,Kyoto,上午4时,26.67,7.0
90,Kyoto,上午5时,27.22,7.0
91,Kyoto,上午6时,27.78,7.0
92,Kyoto,上午7时,28.89,7.0
93,Kyoto,上午8时,30.56,7.0
94,Kyoto,上午9时,32.22,7.0
95,Kyoto,上午10时,33.89,7.0
96,Kyoto,上午11时,34.44,7.0
