id,city,time,temperature,humidity
85,Sapporo,下午8时,20.0,37.0
86,Sapporo,下午9时,19.44,32.0
87,Sapporo,下午10时,18.89,28.0
88,Sapporo,下午11时,18.33,28.0
89,Sapporo,上午12时,18.33,34.0
90,Sapporo,上午1时,18.33,69.0
91,Sapporo,上午2时,18.33,63.0
92,Sapporo,上午3时,18.33,49.0
93,Sapporo,上午4时,17.78,34.0
94,Sapporo,上午5时,18.33,34.0
95,Sapporo,上午6时,18.89,29.0
96,Sapporo,上午7时,21.11,20.0
