id,city,date,high_temp,low_temp,detail_weather,humidity
101,Hiroshima,今晚7/26,26.11,,霧,40.0
102,Hiroshima,周六7/27,32.78,25.56,可能有陣雨，雲量增加,40.0
103,Hiroshima,周日7/28,33.33,23.89,幾場陣雨，雲量增加,88.0
104,Hiroshima,周一7/29,35.0,23.33,可能有雷暴，雲量增加,40.0
105,Hiroshima,周二7/30,35.0,23.89,多雲轉晴，局部多雲,4.0
106,Hiroshima,周三7/31,33.33,25.56,幾場陣雨，大部晴朗,56.0
107,Hiroshima,周四8/1,33.33,27.22,晴轉局部多雲，晴朗,5.0
108,Hiroshima,周五8/2,35.0,27.78,陽光充足，晴朗,2.0
109,Hiroshima,周六8/3,33.89,28.33,大致晴朗，晴朗,3.0
110,Hiroshima,周日8/4,33.89,27.78,局部晴朗，大部晴朗,8.0
