id,city,date,high_temp,low_temp,detail_weather,humidity
1,Tokyo,今天7/24,36.0,27.0,局部晴朗，局部多雲,6%
2,Tokyo,周四7/25,34.0,27.0,多雲間晴，局部多雲轉多雲,25%
3,Tokyo,周五7/26,36.0,27.0,酷熱，局部地區有雷暴,25%
4,Tokyo,周六7/27,33.0,27.0,刮風，局部多雲轉多雲,6%
5,Tokyo,周日7/28,31.0,26.0,高雲間晴，局部多雲,25%
6,Tokyo,周一7/29,27.0,23.0,幾場陣雨和雷暴，局部多雲,69%
7,Tokyo,周二7/30,30.0,26.0,高雲間晴，局部多雲,23%
8,Tokyo,周三7/31,33.0,28.0,多雲轉晴，局部多雲,16%
9,Tokyo,周四8/1,31.0,24.0,幾場雷暴，局部地區有雷暴,60%
10,Tokyo,周五8/2,31.0,25.0,間歇性降雨和雷暴，幾場雷暴,75%
